"term_english","translate","hindi_reference","notes","bn","ta","te","mr","gu","kn","ml","pa","or"
"Agent","YES","एजेंट","translate consistently everywhere","","","","","","","","",""
"Squad","YES","स्क्वाड","translate consistently everywhere","","","","","","","","",""
"Campaign","YES","कैंपेन","translate consistently everywhere","","","","","","","","",""
"Lead","YES","","translate consistently everywhere","","","","","","","","",""
"Contact","YES","संपर्क","translate consistently everywhere","","","","","","","","",""
"Call","YES","","translate consistently everywhere","","","","","","","","",""
"Inbound","YES","इनबाउंड","translate consistently everywhere","","","","","","","","",""
"Outbound","YES","आउटबाउंड","translate consistently everywhere","","","","","","","","",""
"Disposition","YES","डिस्पोज़िशन","translate consistently everywhere","","","","","","","","",""
"Transcript","YES","ट्रांसक्रिप्ट","translate consistently everywhere","","","","","","","","",""
"Recording","YES","","translate consistently everywhere","","","","","","","","",""
"Appointment","YES","","translate consistently everywhere","","","","","","","","",""
"Callback","YES","कॉलबैक","translate consistently everywhere","","","","","","","","",""
"Voice","YES","आवाज़","translate consistently everywhere","","","","","","","","",""
"Persona","YES","","translate consistently everywhere","","","","","","","","",""
"Knowledge base","YES","ज्ञान आधार","translate consistently everywhere","","","","","","","","",""
"Workflow","YES","","translate consistently everywhere","","","","","","","","",""
"Trigger","YES","ट्रिगर","translate consistently everywhere","","","","","","","","",""
"Condition","YES","शर्त","translate consistently everywhere","","","","","","","","",""
"Action","YES","क्रिया","translate consistently everywhere","","","","","","","","",""
"Node","YES","","translate consistently everywhere","","","","","","","","",""
"Builder","YES","बिल्डर","translate consistently everywhere","","","","","","","","",""
"Template","YES","","translate consistently everywhere","","","","","","","","",""
"Phone number","YES","फ़ोन नंबर","translate consistently everywhere","","","","","","","","",""
"Wallet","YES","वॉलेट","translate consistently everywhere","","","","","","","","",""
"Credit","YES","","translate consistently everywhere","","","","","","","","",""
"Minute","YES","","translate consistently everywhere","","","","","","","","",""
"Markup","YES","","translate consistently everywhere","","","","","","","","",""
"Plan","YES","","translate consistently everywhere","","","","","","","","",""
"Quota","YES","","translate consistently everywhere","","","","","","","","",""
"Reseller","YES","रीसेलर","translate consistently everywhere","","","","","","","","",""
"Sub-tenant","YES","","translate consistently everywhere","","","","","","","","",""
"Tenant","YES","टेनेंट","translate consistently everywhere","","","","","","","","",""
"White-label","YES","व्हाइट-लेबल","translate consistently everywhere","","","","","","","","",""
"Super-admin","YES","सुपर-एडमिन","translate consistently everywhere","","","","","","","","",""
"Dashboard","YES","","translate consistently everywhere","","","","","","","","",""
"Overview","YES","अवलोकन","translate consistently everywhere","","","","","","","","",""
"Analytics","YES","एनालिटिक्स","translate consistently everywhere","","","","","","","","",""
"Settings","YES","सेटिंग्स","translate consistently everywhere","","","","","","","","",""
"Billing","YES","","translate consistently everywhere","","","","","","","","",""
"Integration","YES","","translate consistently everywhere","","","","","","","","",""
"Provider","YES","प्रोवाइडर","translate consistently everywhere","","","","","","","","",""
"Consent","YES","सहमति","translate consistently everywhere","","","","","","","","",""
"Compliance","YES","अनुपालन","translate consistently everywhere","","","","","","","","",""
"Disclosure","YES","","translate consistently everywhere","","","","","","","","",""
"Fraud","YES","","translate consistently everywhere","","","","","","","","",""
"Reputation","YES","","translate consistently everywhere","","","","","","","","",""
"Simulator","YES","","translate consistently everywhere","","","","","","","","",""
"Widget","YES","","translate consistently everywhere","","","","","","","","",""
"Channel","YES","चैनल","translate consistently everywhere","","","","","","","","",""
"Lead status","YES","","translate consistently everywhere","","","","","","","","",""
"VocalIQ","NO","VocalIQ","keep verbatim (brand / acronym / code id)","VocalIQ","VocalIQ","VocalIQ","VocalIQ","VocalIQ","VocalIQ","VocalIQ","VocalIQ","VocalIQ"
"API","NO","API","keep verbatim (brand / acronym / code id)","API","API","API","API","API","API","API","API","API"
"SIP","NO","SIP","keep verbatim (brand / acronym / code id)","SIP","SIP","SIP","SIP","SIP","SIP","SIP","SIP","SIP"
"PSTN","NO","PSTN","keep verbatim (brand / acronym / code id)","PSTN","PSTN","PSTN","PSTN","PSTN","PSTN","PSTN","PSTN","PSTN"
"STIR/SHAKEN","NO","STIR/SHAKEN","keep verbatim (brand / acronym / code id)","STIR/SHAKEN","STIR/SHAKEN","STIR/SHAKEN","STIR/SHAKEN","STIR/SHAKEN","STIR/SHAKEN","STIR/SHAKEN","STIR/SHAKEN","STIR/SHAKEN"
"PCI","NO","PCI","keep verbatim (brand / acronym / code id)","PCI","PCI","PCI","PCI","PCI","PCI","PCI","PCI","PCI"
"CSV","NO","CSV","keep verbatim (brand / acronym / code id)","CSV","CSV","CSV","CSV","CSV","CSV","CSV","CSV","CSV"
"SLO","NO","SLO","keep verbatim (brand / acronym / code id)","SLO","SLO","SLO","SLO","SLO","SLO","SLO","SLO","SLO"
"SLA","NO","SLA","keep verbatim (brand / acronym / code id)","SLA","SLA","SLA","SLA","SLA","SLA","SLA","SLA","SLA"
"CNAME","NO","CNAME","keep verbatim (brand / acronym / code id)","CNAME","CNAME","CNAME","CNAME","CNAME","CNAME","CNAME","CNAME","CNAME"
"SMS","NO","SMS","keep verbatim (brand / acronym / code id)","SMS","SMS","SMS","SMS","SMS","SMS","SMS","SMS","SMS"
"RCS","NO","RCS","keep verbatim (brand / acronym / code id)","RCS","RCS","RCS","RCS","RCS","RCS","RCS","RCS","RCS"
"slug","NO","slug","keep verbatim (brand / acronym / code id)","slug","slug","slug","slug","slug","slug","slug","slug","slug"
"disposition","NO","disposition","keep verbatim (brand / acronym / code id)","disposition","disposition","disposition","disposition","disposition","disposition","disposition","disposition","disposition"
"leadStatus","NO","leadStatus","keep verbatim (brand / acronym / code id)","leadStatus","leadStatus","leadStatus","leadStatus","leadStatus","leadStatus","leadStatus","leadStatus","leadStatus"
"Webhook","NO","Webhook","keep verbatim (brand / acronym / code id)","Webhook","Webhook","Webhook","Webhook","Webhook","Webhook","Webhook","Webhook","Webhook"
"OAuth","NO","OAuth","keep verbatim (brand / acronym / code id)","OAuth","OAuth","OAuth","OAuth","OAuth","OAuth","OAuth","OAuth","OAuth"
"SAML","NO","SAML","keep verbatim (brand / acronym / code id)","SAML","SAML","SAML","SAML","SAML","SAML","SAML","SAML","SAML"
"OIDC","NO","OIDC","keep verbatim (brand / acronym / code id)","OIDC","OIDC","OIDC","OIDC","OIDC","OIDC","OIDC","OIDC","OIDC"
"SCIM","NO","SCIM","keep verbatim (brand / acronym / code id)","SCIM","SCIM","SCIM","SCIM","SCIM","SCIM","SCIM","SCIM","SCIM"
"LiveKit","NO","LiveKit","keep verbatim (brand / acronym / code id)","LiveKit","LiveKit","LiveKit","LiveKit","LiveKit","LiveKit","LiveKit","LiveKit","LiveKit"
"Twilio","NO","Twilio","keep verbatim (brand / acronym / code id)","Twilio","Twilio","Twilio","Twilio","Twilio","Twilio","Twilio","Twilio","Twilio"
"Telnyx","NO","Telnyx","keep verbatim (brand / acronym / code id)","Telnyx","Telnyx","Telnyx","Telnyx","Telnyx","Telnyx","Telnyx","Telnyx","Telnyx"
"Plivo","NO","Plivo","keep verbatim (brand / acronym / code id)","Plivo","Plivo","Plivo","Plivo","Plivo","Plivo","Plivo","Plivo","Plivo"
"Deepgram","NO","Deepgram","keep verbatim (brand / acronym / code id)","Deepgram","Deepgram","Deepgram","Deepgram","Deepgram","Deepgram","Deepgram","Deepgram","Deepgram"
"ElevenLabs","NO","ElevenLabs","keep verbatim (brand / acronym / code id)","ElevenLabs","ElevenLabs","ElevenLabs","ElevenLabs","ElevenLabs","ElevenLabs","ElevenLabs","ElevenLabs","ElevenLabs"
"Sarvam","NO","Sarvam","keep verbatim (brand / acronym / code id)","Sarvam","Sarvam","Sarvam","Sarvam","Sarvam","Sarvam","Sarvam","Sarvam","Sarvam"
"Stripe","NO","Stripe","keep verbatim (brand / acronym / code id)","Stripe","Stripe","Stripe","Stripe","Stripe","Stripe","Stripe","Stripe","Stripe"
"WhatsApp","NO","WhatsApp","keep verbatim (brand / acronym / code id)","WhatsApp","WhatsApp","WhatsApp","WhatsApp","WhatsApp","WhatsApp","WhatsApp","WhatsApp","WhatsApp"
"Messenger","NO","Messenger","keep verbatim (brand / acronym / code id)","Messenger","Messenger","Messenger","Messenger","Messenger","Messenger","Messenger","Messenger","Messenger"
"Instagram","NO","Instagram","keep verbatim (brand / acronym / code id)","Instagram","Instagram","Instagram","Instagram","Instagram","Instagram","Instagram","Instagram","Instagram"
"Telegram","NO","Telegram","keep verbatim (brand / acronym / code id)","Telegram","Telegram","Telegram","Telegram","Telegram","Telegram","Telegram","Telegram","Telegram"
"BYOK","NO","BYOK","keep verbatim (brand / acronym / code id)","BYOK","BYOK","BYOK","BYOK","BYOK","BYOK","BYOK","BYOK","BYOK"
"RLS","NO","RLS","keep verbatim (brand / acronym / code id)","RLS","RLS","RLS","RLS","RLS","RLS","RLS","RLS","RLS"
"JWT","NO","JWT","keep verbatim (brand / acronym / code id)","JWT","JWT","JWT","JWT","JWT","JWT","JWT","JWT","JWT"
